Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Plus;DeLonghi;95869;Δοχείο νερού GCB VL Plus;Water Tank;Water Tank / Lid;VL;95869.jpg;Active;;
Plus;–;96162;Βάση στήριξης κούπας;Cup Support Base;Cup Support / Stand;VL;96162.jpg;Active;;
Plus;–;96161;Μεταλλική βάση στήριξης κούπας;Metal Cup Base;Cup Support / Stand;VL;96161.jpg;Active;;
Plus;Krups;95868;Δοχείο νερού GCB VL Plus;Water Tank;Water Tank / Lid;VL;95868.jpg;Active;;
VL Lattissima;–;97623;Δοχείο Νερού;Water Tank;Water Tank / Lid;VL;no.png;Active;;
VL Lattissima;–;97622;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;VL;no.png;Active;;
VL Lattissima;–;97630;Καράφα Γάλακτος;Milk Carafe;Milk System;VL;no.png;Active;;
VL Lattissima;–;97625;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;VL;no.png;Active;;
VL Lattissima;–;97631;Καράφα χωρίς το δοχείο γάλακτος;Milk Frother Head;Milk System;VL;97631.jpg;Active;;
VL Lattissima;–;97624;Βαλβίδα σύνδεσης δοχείου γάλακτος;Milk Connection Valve;Milk System;VL;97624.jpg;Active;;
VL Lattissima;–;97628;Δοχείο Γάλακτος;Milk Container;Milk System;VL;97628.jpg;Active;;
VL Lattissima;–;97621 & 97629;Βρυσάκι Αφαλάτωσης;Descaling Spout;Accessory / Spare Part;VL;97621_97629.jpg;Active;;
POP+;Krups;97647;Δίσκος αποστράγγισης;Drip Grid (Metal);Drip Tray / Grid;VL;no.png;Active;;
POP+;DeLonghi;97646;Δίσκος αποστράγγισης;Drip Grid (Metal);Drip Tray / Grid;VL;no.png;Active;;
POP+;;98296;Vertuo POP+ Water Tank Assy Large (SMMA);Water Tank Assembly Large;Water Tank / Lid;VL;98296.jpg;Active;;
POP+;;98295;Vertuo POP+ Water Tank Lid (SMMA);Water Tank Lid;Water Tank / Lid;VL;no.png;Active;;
POP+;Nespresso;97648;Vertuo POP+ Cup Support Nespresso;Cup Support;Cup Support / Stand;VL;no.png;Active;;
POP+;Delonghi;97650;Vertuo POP+ Cup Support Delonghi;Cup Support;Cup Support / Stand;VL;no.png;Active;;
POP+;Krups;98277;Vertuo POP+ Cup Support Krups;Cup Support;Cup Support / Stand;VL;98277.jpg;Active;;
POP+;Breville;97649;Vertuo POP+ Cup Support Breville;Cup Support;Cup Support / Stand;VL;97649.jpg;Active;;
Vertuo Creatista;Nespresso;97626;Δοχείο καψουλών;Capsule container;Capsule Container / Grid;VL;97626.jpg;Active;;
Vertuo Creatista;Nespresso;97634;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;VL;97634.jpg;Active;;
Vertuo Creatista;Nespresso;97632;Βάση στήριξης κούπας;Cup support base;Cup Support / Stand;VL;97632.jpg;Active;;
Vertuo Creatista;Nespresso;97636;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;VL;97636.jpg;Active;;
Vertuo Creatista;Nespresso;97638;Δοχείο νερού;Water tank;Water Tank / Lid;VL;97638.jpg;Active;;
Vertuo Creatista;Nespresso;97639;Καπάκι δοχείου νερού;Water tank lid;Water Tank / Lid;VL;97639.jpg;Active;;
Vertuo Creatista;Nespresso;97642;Σχάρα δίσκου αποστράγγισης;Drip tray grid;Drip Tray / Grid;VL;97642.jpg;Active;;
Aeroccino 3;Nespresso;95625;Αναδευτήρας Aeroccino 3;Aeroccino 3 Whisk;Accessory / Spare Part;Accessory;95625.jpg;Active;;
Aeroccino 3;Nespresso;95624;Καπάκι Aeroccino 3 (και παλιό 93271);Aeroccino 3 Lid;Accessory / Spare Part;Accessory;95624.jpg;Active;;
Aeroccino 4;Nespresso;93242;Αναδευτήρας Aeroccino 4;Whisk / Frother Aeroccino 4;Accessory / Spare Part;Accessory;93242.jpg;Active;;
Aeroccino 4;Nespresso;92949;Καπάκι Aeroccino 4;Lid Aeroccino 4;Accessory / Spare Part;Accessory;92949.jpg;Active;;
Barista;Nespresso;96524;Καπάκι Barista;Barista Lid;Accessory / Spare Part;OL;96524.jpg;Active;;
Barista;Nespresso;96525;Κουτάλι Συνταγών Barista;Barista Recipe Spoon;Accessory / Spare Part;OL;96525.jpg;Active;;
Barista;Nespresso;96526;Αναδευτήρας Barista;Barista Whisk;Accessory / Spare Part;OL;96526.jpg;Active;;
Barista;Nespresso;96527;Ανοξείδωτη Κανάτα Barista;Barista Stainless Steel Jug;Accessory / Spare Part;OL;96527.jpg;Active;;
Essenza mini;DeLonghi;96009;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;96009.jpg;Active;;
Essenza mini;Unbranded;96008;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;no.png;Active;;Σχήμα DeLonghi
Essenza mini;Krups;96003;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;96003.jpg;Active;;
Essenza mini;Unbranded;96002;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;96002.jpg;Active;;
Essenza mini;Krups/Delonghi;96044;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;96044.jpg;Active;;
Pixie;Krups/Delonghi;SP-62592;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;Sp-62592.jpg;Active;;
Pixie;Krups/Delonghi;SP-67946;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;OL;Sp-67946.jpg;Phased Out;98251;
Pixie;Krups/Delonghi;SP-62616;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;Sp-62616.jpg;Phased Out;;
Pixie;Krups/Delonghi;SP-67944;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;Sp-67944.jpg;Active;;
Pixie;Krups;SP-67869;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;Sp-67869.jpg;Phased Out;;
Pixie;DeLonghi;SP-67881;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;Sp-67881.jpg;Active;;
Essenza Plus;DeLonghi;96644;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;96644.jpg;Active;;
Essenza Plus;DeLonghi;96653;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;96653.jpg;Active;;
Essenza Plus;DeLonghi;96645;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;OL;96645.jpg;Active;;
Essenza Plus;Krups;96708;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;OL;96708.jpg;Active;;
Essenza Plus;Krups;96643;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;96643.jpg;Active;;
Essenza Plus;Krups/Delonghi;96654;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;96654.jpg;Active;;
Essenza Plus;DeLonghi;96649;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;96649.jpg;Active;;
Citiz Milk Facelift;DeLonghi;95539;Σχάρα δίσκου αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;95539.jpg;Active;;
Citiz Milk Facelift;Krups/Delonghi;SP-59292;Σχάρα δίσκου αποστράγγισης;Drip tray grid;Drip Tray / Grid;OL;SP-59292.jpg;Phased Out;;
Citiz Platinum;;97358;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;97358.jpg;Active;;
Citiz Platinum;DeLonghi;97363;Δοχείο καψουλών & βάση στήριξης κούπας;Capsule Container & Cup Holder Base;Capsule Container / Grid;OL;97363.jpg;Active;;
Citiz Platinum;Krups;97361;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;97361.jpg;Active;;Τοποθετείται στον δίσκο συλλογής σταγόνων
Citiz Platinum;DeLonghi;97360;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;97360.jpg;Active;;Τοποθετείται στον δίσκο συλλογής σταγόνων
Citiz Platinum;;97359;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;OL;97359.jpg;Active;;
Citiz Platinum;Krups;97362;Δοχείο καψουλών & βάση στήριξης κούπας;Capsule Container & Cup Holder Base;Capsule Container / Grid;OL;97362.jpg;Active;;
Unbranded;Unbranded;93105;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;93105.jpg;Active;;
Lattissima touch;;94143;Καράφα χωρίς το δοχείο γάλακτος;Milk Frother Head;Milk System;OL;94143.jpg;Active;;
Unbranded;Unbranded;93115;Βρυσάκι Αφαλάτωσης;Descaling Nozzle;Accessory / Spare Part;OL;93115.jpg;Active;;
Lattissima Plus;;93239;Σωλήνας απορρόφησης γάλακτος;Milk Suction Tube;Milk System;OL;93239.jpg;Active;;
Essenza Plus;;93106;Σχάρα στήριξης Καράφας γάλακτος και κούπας;Milk Carafe & Cup Support Grid;Milk System;OL;93106.jpg;Active;;
Essenza Plus;;93117;Δοχείο γάλακτος;Milk Container;Milk System;OL;93117.jpg;Active;;
POP;;97393;Δοχείο Νερού;Water Tank;Water Tank / Lid;VL;97393.jpg;Active;;
POP;;97391;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;VL;97391.jpg;Active;;
POP;;97385;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;VL;97385.jpg;Active;;
POP;;97390;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;VL;97390.jpg;Active;;
POP Pantone;;98274;Δίσκος αποστράγγισης;Drip tray;Drip Tray / Grid;VL;98274.jpg;Active;;
POP Pantone;;98275;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;VL;98275.jpg;Active;;
Aero XL;;97090;Αναδευτήρας Aeroccino 4;Aeroccino 4 Whisk;Accessory / Spare Part;Accessory;97090.jpg;Active;;
