Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Citiz Facelift;Krups/Delonghi;95502;Δίσκος αποστράγγισης;Drip Tray Disk;Drip Tray / Grid;OL;95502.jpg;Active;;
Citiz Milk Facelift;Krups/Delonghi;95792;Σχάρα δίσκου αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;95792.jpg;Active;;
Citiz Milk Facelift;Krups/Delonghi;95562;Βάση στήριξης κούπας;Cup Support Base;Cup Support / Stand;OL;95562.jpg;Active;;
Lattissima One;;96122;Δοχείο καψουλών λευκό;White Capsule Container;Capsule Container / Grid;OL;96122.jpg;Active;;
Lattissima One;;96123;Δοχείο καψουλών καφέ;Brown Capsule Container;Capsule Container / Grid;OL;96123.jpg;Active;;
Lattissima One;;96121;Βάση κούπας με σχαράκι;Cup Support with Grid;Cup Support / Stand;OL;96121.jpg;Active;;
Lattissima One;;96119;Δοχείο νερού με λευκό καπάκι;Water Tank (White Lid);Water Tank / Lid;OL;96119.jpg;Active;;
Lattissima One;;96118;Δοχείο νερού με καφέ καπάκι;Water Tank (Brown Lid);Water Tank / Lid;OL;96118.jpg;Active;;
Lattissima One;;96120;Δοχείο νερού χωρίς καπάκι;Water Tank (No Lid);Water Tank / Lid;OL;96120.jpg;Active;;
Lattissima One;;96125;Πλήρης καράφα;Complete Milk Carafe;Milk System;OL;96125.jpg;Active;;
Lattissima One;;96127;Δοχείο γάλακτος;Milk Container;Milk System;OL;96127.jpg;Active;;
Lattissima One;;96128;Βαλβίδα σύνδεσης δοχείου γάλακτος;Milk Connector Valve;Milk System;OL;96128.jpg;Active;;
Lattissima One;;96126;Σωληνάκι γάλακτος;Milk Tube;Milk System;OL;96126.jpg;Active;;
Lattissima One;;96129;Βρυσάκι αφαλάτωσης;Descaling Nozzle;Accessory / Spare Part;OL;96129.jpg;Active;;
Lattissima One;;96360;Δοχείο νερού με μαύρο καπάκι;Water Tank (Black Lid);Water Tank / Lid;OL;96360.jpg;Active;;
Lattissima One;;96359;Καράφα γάλακτος μαύρη;Milk Carafe Black;Milk System;OL;96359.jpg;Active;;
Lattissima One;;96357;Δίχτυ καψουλών μαύρο;Capsule Container Black;Capsule Container / Grid;OL;96357.jpg;Active;;
Lattissima One;;96358;Βάση κούπας με σχαράκι μαύρη;Cup Support with Grid Black;Cup Support / Stand;OL;96358.jpg;Active;;
Lattissima One EVO;;97272;Δίχτυ Καψουλών Λευκό;White Capsule Grid;Capsule Container / Grid;OL;97272.jpg;Active;;
Lattissima One EVO;;97269;Δοχείο Νερού Μαύρο;Black Water Tank;Water Tank / Lid;OL;no.png;Active;;
Lattissima One EVO;;97271;Δίχτυ Καψουλών Μαύρο;Black Capsule Grid;Capsule Container / Grid;OL;97271.jpg;Active;;
Lattissima One EVO;;97270;Δοχείο Νερού Λευκό;White Water Tank;Water Tank / Lid;OL;97270.jpg;Active;;
Lattissima One EVO;;97274;Βάση Κούπας με Σχαράκι Μαύρη;Black Drip Tray / Cup Support;Drip Tray / Grid;OL;97274.jpg;Active;;
Lattissima One EVO;;97275;Βάση Κούπας με Σχαράκι Λευκή;White Drip Tray / Cup Support;Drip Tray / Grid;OL;97275.jpg;Active;;
Lattissima One EVO;;97279;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;97279.jpg;Active;;
Lattissima One EVO;;97278;Καράφα Γάλακτος Μαύρη;Milk Carafe Black;Milk System;OL;97278.jpg;Active;;
Lattissima One EVO;;97282;Καπάκι Καράφας Γάλακτος Μαύρο;Milk Carafe Lid Black;Milk System;OL;97282.jpg;Active;;
Lattissima One EVO;;97283;Καπάκι Καράφας Γάλακτος Λευκό;Milk Carafe Lid White;Milk System;OL;97283.jpg;Active;;
Lattissima One EVO;;97280;Δοχείο Γάλακτος;Milk Tank;Milk System;OL;97280.jpg;Active;;
Lattissima One EVO;;97277;Σωληνάκι Γάλακτος;Milk Intake Tube;Milk System;OL;no.png;Active;;
Lattissima One EVO;;97273;Βρυσάκι Αφαλάτωσης;Descaling Nozzle;Accessory / Spare Part;OL;97273.jpg;Active;;
Lattissima One EVO;;97276;Σχαράκι Βάσης Στήριξης;Metal Drip Grid;Drip Tray / Grid;OL;97276.jpg;Active;;
Lattissima One EVO;;97268;Βαλβίδα Σύνδεσης Δοχείου Γάλακτος;Milk Container Connector Valve;Milk System;OL;97268.jpg;Active;;
Lattissima Touch;;94138;Δίχτυ κάψουλων λευκό;Capsule Grid White;Capsule Container / Grid;OL;94138.jpg;Active;;
Lattissima Touch;;94145;Δίχτυ κάψουλων μαύρο;Capsule Grid Black;Capsule Container / Grid;OL;94145.jpg;Active;;
Lattissima Touch;;94146;Δίχτυ κάψουλων κόκκινο;Capsule Grid Red;Capsule Container / Grid;OL;94146.jpg;Active;;
Lattissima Touch;;94141;Δίσκος αποστράγγισης λευκός;Drip Tray White;Drip Tray / Grid;OL;94141.jpg;Active;;
Lattissima Touch;;94139;Δίσκος αποστράγγισης μαύρος;Drip Tray Black;Drip Tray / Grid;OL;94139.jpg;Active;;
Lattissima Touch;;94140;Δίσκος αποστράγγισης κόκκινος;Drip Tray Red;Drip Tray / Grid;OL;94140.jpg;Active;;
Lattissima Touch;;94144;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;94144.jpg;Active;;
Lattissima Touch;;94142;Καράφα Γάλακτος;Milk Carafe;Milk System;OL;94142.jpg;Active;;
Lattissima Touch;;94441;Δίχτυ Κάψουλων Τιτανίο;Capsule Grid Titanium;Capsule Container / Grid;OL;94441.jpg;Active;;
Lattissima Touch;;94444;Δίσκος Αποστράγγισης Τιτανίο;Drip Tray Titanium;Drip Tray / Grid;OL;94444.jpg;Active;;
Lattissima Touch;;94442;Δίχτυ Κάψουλων Ασημί;Capsule Grid Silver;Capsule Container / Grid;OL;94442.jpg;Active;;
Lattissima Touch;;94443;Δίσκος Αποστράγγισης Ασημί;Drip Tray Silver;Drip Tray / Grid;OL;94443.jpg;Active;;
Lattissima Touch Facelift;;96242;Δίχτυ Καψουλών Λευκό;Capsule Grid White;Capsule Container / Grid;OL;96242.jpg;Active;;
Lattissima Touch Facelift;;96251;Δίσκος Αποστράγγισης Λευκός;Drip Tray White;Drip Tray / Grid;OL;96251.jpg;Active;;
Lattissima Touch Facelift;;96245;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;96245.jpg;Active;;
Lattissima Touch Facelift;;96248;Καπάκι Καράφας Λευκό;Milk Carafe Lid White;Milk System;OL;96248.jpg;Active;;
Atelier;;96924;Αναδευτήρας;Whisk;Milk System;OL;96924.jpg;Active;;
Atelier;;96923;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;96923.jpg;Active;;
Atelier;;96925;Δοχείο Νερού με Καπάκι;Water Tank with Lid;Water Tank / Lid;OL;96925.jpg;Active;;
Atelier;;96922;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;OL;96922.jpg;Active;;
Gran Lattissima;;96545;Βαλβίδα Αφαλάτωσης Λευκή;Descaling Valve White;Accessory / Spare Part;OL;96545.jpg;Active;;
Gran Lattissima;;96546;Βαλβίδα Αφαλάτωσης Μαύρη;Descaling Valve Black;Accessory / Spare Part;OL;96546.jpg;Active;;
Gran Lattissima;;96541;Δίσκος Αποστράγγισης με Σχαράκι Λευκό;Drip Tray Grid White;Drip Tray / Grid;OL;96541.jpg;Active;;
Gran Lattissima;;96542;Δίσκος Αποστράγγισης με Σχαράκι Μαύρος;Drip Tray Grid Black;Drip Tray / Grid;OL;96542.jpg;Active;;
